Order,Level,Toolkit,Package,Class Name,Note,New Name
1,0,TKBO,BOPAlgo,BOPAlgo_PISteps,Ready,PISteps
2,0,TKBO,BOPAlgo,BOPAlgo_SectionAttribute,Ready,SectionAttribute
3,0,TKBO,BOPAlgo,BOPAlgo_Tools,Ready,Tools
4,0,TKBO,BOPAlgo,EdgeRangeDistance,Ready,EdgeRangeDistance1
5,0,TKBO,BOPAlgo,NbShapes,Ready,NbShapes1
6,0,TKBO,BOPAlgo,PeriodicityParams,Ready,PeriodicityParams1
7,0,TKBO,BOPDS,BOPDS_IndexRange,Ready,IndexRange
8,0,TKBO,BOPDS,BOPDS_Pair,Ready,Pair
9,0,TKBO,BOPDS,BOPDS_Pave,Ready,Pave
10,0,TKBO,BOPDS,BOPDS_Point,Ready,Point
11,0,TKBO,BOPDS,BOPDS_Tools,Ready,Tools1
12,0,TKBO,BOPTools,BOPTools_AlgoTools,Ready,AlgoTools
13,0,TKBO,BOPTools,BOPTools_AlgoTools2D,Ready,AlgoTools2D
14,0,TKBO,BOPTools,BOPTools_AlgoTools3D,Ready,AlgoTools3D
15,0,TKBO,BOPTools,BOPTools_Parallel,Ready,Parallel
16,0,TKBO,IntTools,IntTools,Ready,IntTools1
17,0,TKBO,IntTools,IntTools_BaseRangeSample,Ready,BaseRangeSample
18,0,TKBO,IntTools,IntTools_CurveRangeLocalizeData,Ready,CurveRangeLocalizeData
19,0,TKBO,IntTools,IntTools_MarkedRangeSet,Ready,MarkedRangeSet
20,0,TKBO,IntTools,IntTools_Range,Ready,Range
21,0,TKBO,IntTools,IntTools_Root,Ready,Root
22,0,TKBO,IntTools,IntTools_Tools,Ready,Tools2
23,0,TKBO,IntTools,IntTools_WLineTool,Ready,WLineTool
24,0,TKBRep,BRep,BRep_Tool,Ready,ShapeInspector
25,0,TKBRep,BRepLProp,BRepLProp,Ready,BRepLProp1
26,0,TKBRep,BRepLProp,BRepLProp_CurveTool,Ready,CurveTool
27,0,TKBRep,BRepLProp,BRepLProp_SurfaceTool,Ready,SurfaceTool
28,0,TKBRep,BRepTools,BRepTools,Ready,BRepTools1
29,0,TKBRep,BRepTools,BRepTools_Modifier,Ready,Modifier
30,0,TKBRep,BRepTools,BRepTools_Quilt,Ready,Quilt
31,0,TKBRep,BRepTools,BRepTools_Substitution,Ready,Substitution
32,0,TKBRep,BinTools,BinTools,Ready,BinTools1
33,0,TKBRep,BinTools,BinTools_Curve2dSet,Ready,Curve2dSet
34,0,TKBRep,BinTools,BinTools_CurveSet,Ready,CurveSet
35,0,TKBRep,BinTools,BinTools_IStream,Ready,IStream
36,0,TKBRep,BinTools,BinTools_LocationSet,Ready,LocationSet
37,0,TKBRep,BinTools,BinTools_OStream,Ready,OStream
38,0,TKBRep,BinTools,BinTools_ShapeSetBase,Ready,ShapeSetBase
39,0,TKBRep,BinTools,BinTools_SurfaceSet,Ready,SurfaceSet
40,0,TKBRep,TopExp,TopExp,Ready,TopExp1
41,0,TKBRep,TopTools,TopTools,Ready,TopTools1
42,0,TKBRep,TopTools,TopTools_LocationSet,Ready,LocationSet1
43,0,TKBRep,TopTools,TopTools_ShapeMapHasher,Ready,ShapeMapHasher
44,0,TKBRep,TopoDS,TopoDS_Builder,Ready,TopoBuilder
45,0,TKBin,BinDrivers,BinDrivers,Ready,BinDrivers1
46,0,TKBin,BinMDataXtd,BinMDataXtd,Ready,BinMDataXtd1
47,0,TKBin,BinMNaming,BinMNaming,Ready,BinMNaming1
48,0,TKBinL,BinLDrivers,BinLDrivers,Ready,BinLDrivers1
49,0,TKBinL,BinMDF,BinMDF,Ready,BinMDF1
50,0,TKBinL,BinMDataStd,BinMDataStd,Ready,BinMDataStd1
51,0,TKBinL,BinMDocStd,BinMDocStd,Ready,BinMDocStd1
52,0,TKBinL,BinMFunction,BinMFunction,Ready,BinMFunction1
53,0,TKBinTObj,BinTObjDrivers,BinTObjDrivers,Ready,BinTObjDrivers1
54,0,TKBinXCAF,BinMXCAFDoc,BinMXCAFDoc,Ready,BinMXCAFDoc1
55,0,TKBinXCAF,BinXCAFDrivers,BinXCAFDrivers,Ready,BinXCAFDrivers1
56,0,TKBool,BRepAlgo,BRepAlgo,Ready,BRepAlgo1
57,0,TKBool,BRepAlgo,BRepAlgo_Image,Ready,Image
58,0,TKBool,BRepFill,BRepFill,Ready,BRepFill1
59,0,TKBool,BRepFill,BRepFill_CompatibleWires,Ready,CompatibleWires
60,0,TKBool,BRepFill,BRepFill_OffsetAncestors,Ready,OffsetAncestors
61,0,TKBool,TopOpeBRep,TopOpeBRep,Ready,TopOpeBRep1
62,0,TKBool,TopOpeBRep,TopOpeBRep_Bipoint,Ready,Bipoint
63,0,TKBool,TopOpeBRep,TopOpeBRep_FFTransitionTool,Ready,FFTransitionTool
64,0,TKBool,TopOpeBRep,TopOpeBRep_FaceEdgeFiller,Ready,FaceEdgeFiller
65,0,TKBool,TopOpeBRep,TopOpeBRep_GeomTool,Ready,GeomTool
66,0,TKBool,TopOpeBRep,TopOpeBRep_PointGeomTool,Ready,PointGeomTool
67,0,TKBool,TopOpeBRep,TopOpeBRep_VPointInterIterator,Ready,VPointInterIterator
68,0,TKBool,TopOpeBRep,TopOpeBRep_WPointInter,Ready,WPointInter
69,0,TKBool,TopOpeBRep,TopOpeBRep_WPointInterIterator,Ready,WPointInterIterator
70,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_AreaBuilder,Ready,AreaBuilder
71,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_BlockBuilder,Ready,BlockBuilder
72,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_BlockIterator,Ready,BlockIterator
73,0,TKBool,TopOpeBRepBuild,TopOpeBRepBuild_FuseFace,Ready,FuseFace
